,time,minDis,avgDis,objects
0,959.635525,4.267108566444372,inf,7
1,986.190103,4.470529310613202,inf,7
2,1003.272298,1.97244025453255,inf,8
3,994.834278,2.488204358210999,inf,8
4,1021.009353,10.758321149760986,inf,5
5,1013.103702,9.313188347644344,inf,5
6,995.338983,8.966717509924377,inf,6
7,1008.096399,8.603560315976635,inf,3
8,983.076277,4.866962383011672,15.613236936827875,3
9,975.851436,4.2152335005332215,4.2152335005332215,1
10,999.351413,0.0,0.0,0
11,1001.984474,11.226097075393474,11.226097075393474,1
12,993.064729,9.106602407029584,9.106602407029584,1
13,1011.106786,6.754956981124684,inf,2
14,996.958023,5.247803935892038,inf,2
15,1008.774084,3.942223288072331,3.942223288072331,1
16,978.735996,0.0,0.0,0
17,1025.311031,0.0,0.0,0
18,1012.532829,0.0,0.0,0
19,999.049005,0.0,0.0,0
20,981.259816,51.75635136321179,inf,2
21,969.630444,15.554785728937821,inf,4
22,994.218502,9.024571158847314,inf,5
23,1003.220044,43.119997953784946,inf,6
24,994.298993,43.156472100232655,inf,4
25,950.211957,88.72649194352793,inf,3
26,995.68711,29.01628529367601,inf,6
27,995.966028,29.21584942548425,inf,4
28,990.494737,22.028822670744717,inf,4
29,983.707759,22.013440873733632,inf,7
30,992.542582,22.33160429685785,inf,6
